Date,Round,Match,Home,Away,CompetitionID,MatchID
2026-05-15,,Bari 0-0 Südtirol,Bari,Südtirol,1yx2eq0yvay996e4h7s0mraxg,42b9sw8dotcv94k62h238eo7o
2026-05-12,,Catanzaro 3-0 Avellino,Catanzaro,Avellino,1yx2eq0yvay996e4h7s0mraxg,dnase71rcz5et5pzs296ztams
2026-05-12,,Modena 0-1 Juve Stabia,Modena,Juve Stabia,1yx2eq0yvay996e4h7s0mraxg,dmnnxii2posk8g5kb3hie7wgk
2026-05-08,38.0,Virtus Entella 2-1 Carrarese,Virtus Entella,Carrarese,1yx2eq0yvay996e4h7s0mraxg,e7z7sgj890n4b4z43jykuecr8
2026-05-08,38.0,Venezia 2-0 Palermo,Venezia,Palermo,1yx2eq0yvay996e4h7s0mraxg,e7mkdwytfsdfml1spitbtwjys
2026-05-08,38.0,Südtirol 1-1 Juve Stabia,Südtirol,Juve Stabia,1yx2eq0yvay996e4h7s0mraxg,e79x1wan00zpcr9qd9ddsnk7o
2026-05-08,38.0,Reggiana 1-0 Sampdoria,Reggiana,Sampdoria,1yx2eq0yvay996e4h7s0mraxg,e6wcrf4p99xe00018w3eik2z8
2026-05-08,38.0,Pescara 1-1 Spezia,Pescara,Spezia,1yx2eq0yvay996e4h7s0mraxg,e6j59ke51pz5t98522s132syc
2026-05-08,38.0,Monza 2-2 Empoli,Monza,Empoli,1yx2eq0yvay996e4h7s0mraxg,e65n3ezy58mzfn9zamymjo104
2026-05-08,38.0,Frosinone 5-0 Mantova,Frosinone,Mantova,1yx2eq0yvay996e4h7s0mraxg,e5t2j8qwhrrz5eivh50phm7tg
2026-05-08,38.0,Cesena 3-4 Padova,Cesena,Padova,1yx2eq0yvay996e4h7s0mraxg,e5gmpykp6fv9u0r9483hau2hg
2026-05-08,38.0,Catanzaro 2-3 Bari,Catanzaro,Bari,1yx2eq0yvay996e4h7s0mraxg,e54baty8bn0mlyzbw6fxs287o
2026-05-08,38.0,Avellino 1-0 Modena,Avellino,Modena,1yx2eq0yvay996e4h7s0mraxg,e4opzqm930zdrdbwfzyiq8g7o
2026-05-01,37.0,Spezia 2-2 Venezia,Spezia,Venezia,1yx2eq0yvay996e4h7s0mraxg,e4c22r1n6k3uyc5gn0fsjxn2s
2026-05-01,37.0,Sampdoria 1-0 Südtirol,Sampdoria,Südtirol,1yx2eq0yvay996e4h7s0mraxg,e3zgei7cig7jkws0y4tr6yyok
2026-05-01,37.0,Palermo 3-2 Catanzaro,Palermo,Catanzaro,1yx2eq0yvay996e4h7s0mraxg,e3mup1epcc37mi43v7tgarms4
2026-05-01,37.0,Padova 1-0 Pescara,Padova,Pescara,1yx2eq0yvay996e4h7s0mraxg,e39xx8p496mgakyte2bexf9ck
2026-05-01,37.0,Modena 2-1 Reggiana,Modena,Reggiana,1yx2eq0yvay996e4h7s0mraxg,e2x9khcksz3rpg6q9rr1jxct0
2026-05-01,37.0,Mantova 3-2 Monza,Mantova,Monza,1yx2eq0yvay996e4h7s0mraxg,e2koosqgav68na9rofiq3wt1w
2026-05-01,37.0,Juve Stabia 0-1 Frosinone,Juve Stabia,Frosinone,1yx2eq0yvay996e4h7s0mraxg,e283wm7z2tmmd5n4vnpzq56hg
2026-05-01,37.0,Empoli 1-0 Avellino,Empoli,Avellino,1yx2eq0yvay996e4h7s0mraxg,e1vjehkz4yt5kx9wza7r0x2c4
2026-05-01,37.0,Carrarese 0-0 Cesena,Carrarese,Cesena,1yx2eq0yvay996e4h7s0mraxg,e1iijv2m44nvw6jv47pupu87o
2026-05-01,37.0,Bari 2-0 Virtus Entella,Bari,Virtus Entella,1yx2eq0yvay996e4h7s0mraxg,e1636iv3mevwd21wrtq5tu51w
2026-04-25,36.0,Cesena 0-0 Sampdoria,Cesena,Sampdoria,1yx2eq0yvay996e4h7s0mraxg,dyb9ent3ly4c1pgi72vtpjpqs
2026-04-25,36.0,Venezia 2-0 Empoli,Venezia,Empoli,1yx2eq0yvay996e4h7s0mraxg,e0h79epzgtosrsvjjg4kb5btg
2026-04-25,36.0,Virtus Entella 1-0 Padova,Virtus Entella,Padova,1yx2eq0yvay996e4h7s0mraxg,e0tm2p3o4tfuyrppjk4cck2l0
2026-04-25,36.0,Südtirol 0-3 Mantova,Südtirol,Mantova,1yx2eq0yvay996e4h7s0mraxg,e02lxbj1ij3eiutrc4fxhgv10
2026-04-25,36.0,Reggiana 1-1 Palermo,Reggiana,Palermo,1yx2eq0yvay996e4h7s0mraxg,dzpsz1u9yy60rdltxjwku8wt0
2026-04-25,36.0,Pescara 1-1 Juve Stabia,Pescara,Juve Stabia,1yx2eq0yvay996e4h7s0mraxg,dzd8evswufwpzre69w10292c4
2026-04-25,36.0,Frosinone 3-0 Carrarese,Frosinone,Carrarese,1yx2eq0yvay996e4h7s0mraxg,dynxiyofgj4jbday0mngj6ihg
2026-04-25,36.0,Catanzaro 4-2 Spezia,Catanzaro,Spezia,1yx2eq0yvay996e4h7s0mraxg,dxyqckjw3du9ysh1f8cd7egic
2026-04-24,36.0,Avellino 2-0 Bari,Avellino,Bari,1yx2eq0yvay996e4h7s0mraxg,dxm5fnrqkb30t0q5a0nfy3aj8
2026-04-24,36.0,Monza 1-0 Modena,Monza,Modena,1yx2eq0yvay996e4h7s0mraxg,dz0jaq9ezl7w0pl1zkw3sk07o
2026-04-19,35.0,Empoli 1-1 Virtus Entella,Empoli,Virtus Entella,1yx2eq0yvay996e4h7s0mraxg,dusje7q61s21ieo384bysat5g
2026-04-19,35.0,Padova 1-0 Reggiana,Padova,Reggiana,1yx2eq0yvay996e4h7s0mraxg,dw8aa74umrok8w6y3r8id15as
2026-04-19,35.0,Carrarese 2-2 Pescara,Carrarese,Pescara,1yx2eq0yvay996e4h7s0mraxg,dug06ymjs0jls54l9v5f0mm8k
2026-04-18,35.0,Juve Stabia 1-1 Catanzaro,Juve Stabia,Catanzaro,1yx2eq0yvay996e4h7s0mraxg,dv50m42ndps1cu5pt4m452djo
2026-04-18,35.0,Palermo 2-0 Cesena,Palermo,Cesena,1yx2eq0yvay996e4h7s0mraxg,dwkn8ma52k4r7zy3ftk3eu9lg
2026-04-18,35.0,Spezia 6-1 Südtirol,Spezia,Südtirol,1yx2eq0yvay996e4h7s0mraxg,dx9ovpfp3lkn83u9iz3axrmz8
